Demonstrativo Parcelas Pagas - Por Grupo
IBGE;Nome do Grupo;Piso;Prefeitura/Governo/Fundo;CNPJ;Parcela;Canal;Data da Ordem;Nº da Ordem Bancária;Agência/Conta;Valor Bruto;Valor Desconto;Valor Bloqueio/ Suspensão;Valor Líquido
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;30/08/2006;003686;016152/000000067512;1.080,0;0,0;0,0;1.080,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;14/09/2006;003984;016152/000000067512;4.160,0;0,0;0,0;4.160,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;09/10/2006;004887;016152/000000067512;3.840,0;0,0;0,0;3.840,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;15/09/2006;004195;016152/000000067512;520,0;0,0;0,0;520,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;20/11/2006;005853;016152/000000067512;4.560,0;0,0;0,0;4.560,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;06/10/2006;004733;016152/000000067512;840,0;0,0;0,0;840,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;07/11/2006;005346;016152/000000067512;560,0;0,0;0,0;560,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;26/12/2006;006468;016152/000000067512;4.560,0;0,0;0,0;4.560,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;15/12/2006;006322;016152/000000067512;520,0;0,0;0,0;520,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;06/03/2006;000478;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;15/03/2006;000754;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;05/04/2006;001348;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;09/05/2006;002157;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;06/06/2006;002459;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;07/07/2006;003077;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;04/08/2006;003429;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;08/09/2006;003893;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;05/10/2006;004522;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;07/11/2006;005347;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO FIXO DE MEDIA COMPLEXIDADE - PAEFI;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;14/12/2006;006172;016152/000000067563;13.800,0;0,0;0,0;13.800,0
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;10/03/2006;000582;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;15/03/2006;000785;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;05/04/2006;001453;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;08/05/2006;002082;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;05/06/2006;002323;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;05/07/2006;002860;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;03/08/2006;003399;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;06/09/2006;003820;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;05/10/2006;004560;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;07/11/2006;005538;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE TRANSICAO DE MEDIA COMPLEXIDADE;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;12/12/2006;006018;016152/000000067571;309.686,3;0,0;0,0;309.686,3
310620;PSE;PISO DE ALTA COMPLEXIDADE II - POP DE RUA - SERVICO DE ACOLHIMENTO PARA ADULTOS E FAMILIAS;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;15/12/2006;006389;016152/000000070467;12.000,0;0,0;0,0;12.000,0
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;22/02/2006;000274;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;27/03/2006;001168;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;05/04/2006;001495;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;08/05/2006;002111;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;06/06/2006;002620;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;06/07/2006;003041;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;03/08/2006;003309;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;06/09/2006;003834;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;06/10/2006;004719;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;07/11/2006;005559;016152/000000067520;19.743,1;0,0;0,0;19.743,1
310620;PSE;PISO DE ALTA COMPLEXIDADE I;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;12/12/2006;006096;016152/000000067520;24.668,5;0,0;0,0;24.668,5
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;20/02/2006;000204;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;13/03/2006;000599;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;06/04/2006;001532;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;05/05/2006;002006;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;06/06/2006;002514;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;05/07/2006;002880;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;11/08/2006;003506;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;14/09/2006;003967;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;09/10/2006;005050;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;09/11/2006;005699;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;Protecao Social Basica Bolsa Agente Jovem;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;14/12/2006;006151;016152/000000067504;97.500,0;0,0;0,0;97.500,0
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;07/03/2006;000526;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;10/03/2006;000562;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;05/04/2006;001377;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;08/05/2006;002038;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;06/06/2006;002407;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;05/07/2006;002951;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;03/08/2006;003372;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;12/09/2006;003931;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;09/10/2006;004989;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;09/11/2006;005669;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO VARIAVEL;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;11/12/2006;005964;016152/000000067555;27.499,8;0,0;0,0;27.499,8
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;20/02/2006;000169;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;14/03/2006;000659;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;07/04/2006;001561;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;09/05/2006;002139;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;05/06/2006;002305;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;05/07/2006;002822;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;03/08/2006;003325;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;08/09/2006;003868;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;05/10/2006;004571;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;08/11/2006;005615;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO FIXO;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;11/12/2006;005948;016152/000000067539;135.000,0;0,0;0,0;135.000,0
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;24/02/2006;000371;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;14/03/2006;000704;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;06/04/2006;001549;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;11/05/2006;002189;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;05/06/2006;002329;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;05/07/2006;002858;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;09/08/2006;003469;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;06/09/2006;003775;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;06/10/2006;004809;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;08/11/2006;005641;016152/000000067547;204.149,7;0,0;0,0;204.149,7
310620;PSB;PISO BASICO DE TRANSICAO;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;15/12/2006;006337;016152/000000067547;204.149,7;0,0;0,0;204.149,7
